"{0.00039999999206089616, 0.0009901299898724236, 0.00002000000143977017}","{{ϕ, 179, θ, 89}, {ϕ, 90, θ, 134}, {ϕ, 89, θ, 44}, {7.03774580515512, 44.83130611726836, 41.812605288301675}}"
"{0.00039999999934953016, 0.0007712375317695131, 0.00002000000055473802}","{{ϕ, 179, θ, 89}, {ϕ, 90, θ, 134}, {ϕ, 88, θ, 44}, {7.000690502160946, 33.407670499036826, 30.98889852766987}}"
"{0.000399999994994591, 0.0005000001347139726, 0.000020000000252785184}","{{ϕ, 2, θ, 89}, {ϕ, -89, θ, 45}, {ϕ, 92, θ, 45}, {6.92139881608063, 22.69384891080804, 24.914267181080625}}"
"{0.0004, 0.0005, 0.00002}","{{ϕ, 3, θ, 90}, {ϕ, -87, θ, 44}, {ϕ, 93, θ, 46}, {6.651938893874502, 22.690999275787842, 24.85212903112419}}"
"{-0.0004, 0.0005, 0.00002}","{{ϕ, 2, θ, 89}, {ϕ, -89, θ, 44}, {ϕ, 92, θ, 46}, {6.995600784758561, 23.021280710682163, 25.201066862406147}}"
"{-0.0004, 0.0005, 0.00002}","{{ϕ, 3, θ, 90}, {ϕ, -87, θ, 42}, {ϕ, 93, θ, 48}, {7.100270261750804, 22.976799582060867, 25.171864851327854}}"
"{-0.0004, 0.0005, 0.00002}","{{ϕ, 4, θ, 91}, {ϕ, -85, θ, 41}, {ϕ, 93, θ, 49}, {7.178897418712565, 22.94472057546448, 25.14464895006534}}"
"{0.00039999999996875846, 0.001052864129803151, 0.00002000000001219176}","{{ϕ, 179, θ, 89}, {ϕ, 90, θ, 133}, {ϕ, 88, θ, 43}, {8.677248430345339, 49.86751783150535, 44.45143690760146}}"
"{0.00039999999785444437, 0.0008478697255234953, 0.000020000000778113744}","{{ϕ, 179, θ, 88}, {ϕ, 90, θ, 134}, {ϕ, 87, θ, 44}, {8.638345550661288, 37.104374898385, 32.94767775916741}}"
"{0.0004, 0.0005282686831300277, 0.00002}","{{ϕ, 3, θ, 89}, {ϕ, -88, θ, 46}, {ϕ, 94, θ, 44}, {8.582258710920028, 22.362052848556107, 25.946480805966928}}"
"{-0.0003999998830183907, 0.0005000003746480127, 0.000020000007600280643}","{{ϕ, 88, θ, 89}, {ϕ, -1, θ, 135}, {ϕ, -3, θ, 45}, {25.739426516599515, 8.563619141072254, 22.27210102517397}}"
"{-0.0004, 0.0005, 0.00002}","{{ϕ, 3, θ, 89}, {ϕ, -88, θ, 44}, {ϕ, 94, θ, 46}, {8.678946455759354, 22.164501334164285, 25.64787311051501}}"
"{-0.0004, 0.0005, 0.00002}","{{ϕ, 5, θ, 90}, {ϕ, -84, θ, 42}, {ϕ, 95, θ, 48}, {8.736873377061684, 22.094769680347166, 25.55968778158286}}"
"{-0.00039999999887421067, 0.0005000000248709933, 0.00002000000072857021}","{{ϕ, 8, θ, 92}, {ϕ, -80, θ, 40}, {ϕ, 97, θ, 50}, {8.72155660740726, 22.068302945227646, 25.475298324986195}}"
"{0.0003999999912022843, 0.0011155167124492899, 0.000020000000566326603}","{{ϕ, 88, θ, 87}, {ϕ, 1, θ, 132}, {ϕ, -6, θ, 42}, {56.49102515037787, 12.402423678387107, 40.307346437774996}}"
"{0.0003999999971040102, 0.0009243647716362744, 0.00002000000204433663}","{{ϕ, 5, θ, 88}, {ϕ, -87, θ, 44}, {ϕ, 97, θ, 46}, {12.30459411962903, 29.929907874461236, 41.73667815060804}}"
