"","IL[A]","IZ[A]","IH[A]","Bx[G]","By[G]","Bz[G]"
"InitialTrap",0.8505,2.4010000000000002,2.3000000000000003,-8.9375,36.67216199999999,1.5552000000000004
"FinalTrap",0.8505,2.4010000000000002,2.3000000000000003,-1.7875,7.334432399999999,0.3110400000000001
