"","IL[A]","IZ[A]","IH[A]","Bx[G]","By[G]","Bz[G]"
"InitialTrap",0.8505,2.4010000000000002,2.3000000000000003,-8.9375,36.67216199999999,1.5552000000000004
"FinalTrap",0.11975890500000008,2.57197881,2.557757,-2.933909875000001,10.441794117420002,-2.4559802811975002
