,AZ1_sel,AZ2_sel,AZ1,AZ2,H1&H2,T1,T2,Y,Z
InitialTrap,0,1,-0.686,-0.0001,0.46,0.0275,0.0275,0.85,-0.05
FinalTrap,0,2,-0.8643,0,0.36,0.00443,0.00443,0.07,-0.1235
