"","IL[A]","IZ[A]","IH[A]","Bx[G]","By[G]","Bz[G]","",""
"InitialTrap",0.,3.2025,0.,0.,3.5,-8.9375,36.67216199999999,1.5552000000000004
"FinalTrap",0.,3.2025,0.,0.,3.5,0.65,4.3143720000000005,4.6655999999999995
