0.0272,0.038983793
0.0142,0.078843627
0.0116,0.11870346
0.0102,0.159001314
0.0096,0.198861148
0.009,0.239159001
0.009,0.280332895
0.0088,0.320192729
0.0088,0.360490583
0.0092,0.400350416
0.0046,0.420499343
0.0048,0.44064827
0.0048,0.460359177
0.005,0.480508103
0.005,0.50065703
0.0054,0.520805957
0.0056,0.540516864
0.0058,0.560665791
0.006,0.580814717
0.0064,0.600525624
0.0066,0.620674551
0.0072,0.640823478
0.0076,0.660972405
0.0082,0.680683311
0.0088,0.700832238
0.0096,0.720981165
0.0106,0.740692072
0.0116,0.762155059
0.013,0.782303986
0.0148,0.802014893
0.0166,0.82216382
0.0196,0.842312746
0.0228,0.862461673
0.0278,0.88217258
0.0346,0.902321507
0.0446,0.922470434
0.0606,0.94218134
0.0892,0.962330267
0.1496,0.982479194
0.2656,1
