"","IL[A]","IZ[A]","IH[A]","Bx[G]","By[G]","Bz[G]"
"InitialTrap",0.8505,2.4010000000000002,2.3000000000000003,-8.9375,36.67216199999999,1.5552000000000004
"FinalTrap",0,2.6,2.6,-1.95,6.14298,-3.11336025
