"","IL[A]","IZ[A]","IH[A]","Bx[G]","By[G]","Bz[G]","",""
"InitialTrap",-0.00035,2.4010000000000002,0.,0.,2.3000000000000003,-8.9375,36.67216199999999,1.5552000000000004
"FinalTrap",0.,-2.4249994999999998,0.,0.,-2.6,1.95,-3.55435222848,-3.11335488
